Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,BioRad Cq,Thermo Cq,Cq Confidence,Cq Mean,Cq SD,,
22,A22,FALSE,329,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.374743876,NaN,26.78952599,0.973965885,26.78952599,,,
23,A23,FALSE,345,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
23,A23,FALSE,345,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
23,A23,FALSE,345,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.257785746,NaN,NaN,0,,,,
24,A24,FALSE,361,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
24,A24,FALSE,361,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
24,A24,FALSE,361,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
3,A3,FALSE,31,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
3,A3,FALSE,31,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
3,A3,FALSE,31,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
4,A4,FALSE,47,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
4,A4,FALSE,47,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
4,A4,FALSE,47,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
5,A5,FALSE,63,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
5,A5,FALSE,63,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
5,A5,FALSE,63,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
6,A6,FALSE,79,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
6,A6,FALSE,79,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
6,A6,FALSE,79,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
7,A7,FALSE,95,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0.829580976,NaN,NaN,0,,,,
7,A7,FALSE,95,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
7,A7,FALSE,95,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
8,A8,FALSE,111,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
8,A8,FALSE,111,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
8,A8,FALSE,111,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
9,A9,FALSE,125,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
9,A9,FALSE,125,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
9,A9,FALSE,125,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
25,B1,FALSE,9,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
25,B1,FALSE,9,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
25,B1,FALSE,9,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
34,B10,FALSE,149,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
34,B10,FALSE,149,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
34,B10,FALSE,149,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
35,B11,FALSE,165,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
35,B11,FALSE,165,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
35,B11,FALSE,165,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,34.69219412,NaN,0,,,,
36,B12,FALSE,181,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
36,B12,FALSE,181,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,35.90297718,NaN,0,,,,
36,B12,FALSE,181,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
37,B13,FALSE,197,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
37,B13,FALSE,197,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
37,B13,FALSE,197,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
38,B14,FALSE,Pos Cntrl,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
38,B14,FALSE,Pos Cntrl,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
38,B14,FALSE,Pos Cntrl,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
39,B15,FALSE,227,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,1.208767369,NaN,NaN,0,,,,
39,B15,FALSE,227,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,1.540319936,NaN,NaN,0,,,,
39,B15,FALSE,227,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
40,B16,FALSE,243,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
40,B16,FALSE,243,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
40,B16,FALSE,243,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
41,B17,FALSE,259,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
41,B17,FALSE,259,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
41,B17,FALSE,259,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
42,B18,FALSE,275,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
42,B18,FALSE,275,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
42,B18,FALSE,275,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
43,B19,FALSE,291,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
43,B19,FALSE,291,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
43,B19,FALSE,291,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
26,B2,FALSE,Pos Cntrl,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
26,B2,FALSE,Pos Cntrl,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
26,B2,FALSE,Pos Cntrl,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
44,B20,FALSE,Pos Cntrl,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
44,B20,FALSE,Pos Cntrl,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,1.421125394,NaN,NaN,0,,,,
44,B20,FALSE,Pos Cntrl,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
45,B21,FALSE,321,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
45,B21,FALSE,321,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
45,B21,FALSE,321,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
