Well,Fluor,Target,Content,Sample,Biological Set Name,BioRad Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A20,Cy5,,Unkn,,,25.23898369,25.23898369,0,NaN,NaN,NaN,0,55,
A20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A20,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A20,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A21,Cy5,,Unkn,,,33.85323216,33.85323216,0,NaN,NaN,NaN,0,55,
A21,FAM,,Unkn,,,21.25806651,21.25806651,0,NaN,NaN,NaN,0,55,
A21,HEX,,Unkn,,,29.04017501,29.04017501,0,NaN,NaN,NaN,0,55,
A21,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A22,Cy5,,Unkn,,,34.47765352,34.47765352,0,NaN,NaN,NaN,0,55,
A22,FAM,,Unkn,,,22.68704862,22.68704862,0,NaN,NaN,NaN,0,55,
A22,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A22,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A23,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A23,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A23,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A23,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A24,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A24,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
A24,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B01,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B01,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B01,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B02,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B02,HEX,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B02,Texas Red,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B03,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,55,
B03,HEX,,Unkn,,,34.69219412,34.69219412,0,NaN,NaN,NaN,0,55,
